ApplStandard,Brand,Cap,CEC Cold,CEC_,Cold Prog,Cold Wat Cons,Combination,Conn_Mode,Country,delayStartMode,Depth,DetergentType,Height,Hot Wat Cons,internal_heater,Loading,MachineAction,Model No,N-Standard,New SRI,New Star,postProgenergy,powerConsMode,Prog Name,Sold_in,standbyPowerUsage,Submit_ID,SubmitStatus,Test Prog Time,Tot Wat Cons,Type,WEI,Width,ExpDate,GrandDate,Product Class,Availability Status,Product Website,Representative Brand URL
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,LG,8.5,,340,,68.8,False,Dual,"""Korea, Republic of""",True,,Drum,,1.1,Yes on the warm wash program only,Front,Drum,WD14030D,AS/NZS 2040.1:2005/Amdt 3:2010,4.09722522502,4.0,0.000226,0.28,"Cotton 40 C, Intensive, Normal,1400rpm","Australia,New Zealand",0.28,45371,Approved,240.0,69.9,Drum,0.48953,,2014-08-25,,Single product class,Unavailable,,http://www.lge.com
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,LG,8.5,,340,,68.8,False,Dual,"""Korea, Republic of""",True,,Drum,,1.1,Yes on the warm wash program only,Front,Drum,WD14039D,AS/NZS 2040.1:2005/Amdt 3:2010,4.09722522502,4.0,0.000226,0.28,"Cotton 40 C, Intensive, Normal,1400rpm","Australia,New Zealand",0.28,45371,Approved,240.0,69.9,Drum,0.48953,,2014-08-25,,Single product class,Unavailable,,http://www.lge.com
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,LG,7.5,120,640,,44.95,False,Dual,Thailand,True,,Drum,,28.11,No,Top,Impeller,WT-H750,AS/NZS 2040.1:2005/Amdt 3:2010,2.02701060538,2.0,0.0,0.03,"Eco Cotton, Warm","Australia,New Zealand",0.03,47423,Approved,112.0,73.06,Non-Drum,0.69,,2014-11-12,,Single product class,Unavailable,,http://www.lge.com
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,Singer,6,,524,Fuzzy,103.52,False,Dual,China,True,,Non Drum,,26.06,No,Top,Impeller,SIWM6000,AS/NZS 2040.1:2005/Amdt 3:2010,1.77191748633,1.5,0.0,0.984,Normal warm wash (default program; push start button only; select hot & cold),"Australia,Fiji,New Zealand",0.985,56795,Approved,80.0,129.58,Non-Drum,0.89,,2016-05-01,,Single product class,Unavailable,,http://www.singerco.com.au
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,Singer,8,,713,,156.0,False,Dual,China,True,,Non Drum,,36.0,No,Top,Impeller,Singer Model SIWM8000,AS/NZS 2040.1:2005/Amdt 3:2010,1.62558993277,1.5,0.0,0.029,using Soak; 12 min Wash; 7 min Spin; 2 Rinse program seven times per week,"Australia,Fiji,New Zealand",0.029,56495,Approved,113.0,192.0,Non-Drum,1.0,,2016-04-09,,Single product class,Unavailable,,http://www.singerco.com.au
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,Singer,5,75,459,,96.0,False,Dual,China,False,,Non Drum,,23.0,No,Top,Impeller,SIWM5KG,AS/NZS 2040.1:2005/Amdt 3:2010,1.7602564495,1.5,0.0,1.5,Normal soak; wash temp: warm; water level:5  (Soak; wash; rinse; drain; spin),"Australia,Fiji,New Zealand",1.0,56275,Approved,74.0,119.0,Non-Drum,0.7732,,2016-02-16,,Single product class,Unavailable,,http://www.singerco.com.au
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,HAIER,5.5,96,490,,54.3,False,Dual,China,True,,Non Drum,,22.9,No,Top,Impeller,HWMP55-918,AS/NZS 2040.1:2005/Amdt 3:2010,1.83741254989,1.5,0.0,1.16,Normal wash cycle;  Warm cold;  Wash long;  1 Rinse stage; Water level 10; 7 min Spin;,"Australia,New Zealand",1.16,59150,Approved,99.0,77.2,Non-Drum,0.77172,,2016-07-17,,Single product class,Available,,
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,BOSCH,6.5,,249,,55.95,False,Cold,Thailand,True,,Drum,,0.0,Yes on the warm wash program only,Front,Drum,WAE22463AU,AS/NZS 2040.1:2005/Amdt 3:2010,4.04038146768,4.0,0.0,2.03,Cottons 40c; Intensive;  1100 rpm,"Australia,New Zealand",0.107,55609,Approved,188.0,55.95,Drum,0.57,,2016-07-03,,Single product class,Unavailable,,http://www.bosch-home.com.au/
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,BMC,6,,443,,123.9,False,Dual,China,False,585.0,Non Drum,960.0,22.4,No,Top,Impeller,BTWM601,AS/NZS 2040.1:2005/Amdt 3:2010,2.17278856944,2.0,0.0,0.0,Normal + High water level,Australia,0.0,44458,Approved,60.0,146.3,Non-Drum,0.88,560.0,2014-07-30,,Single product class,Unavailable,,http://www.boomelectrical.com.au
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,BOSCH,7.5,0,290,,0.0,False,Cold,China,True,,Drum,,0.0,Yes on the warm wash program only,Front,,WAS28461AU,AS/NZS 2040.1:2005/Amdt 3:2010,4.00816218899,4.0,0.0,3.167,"Cottons 60C, Eco Perfect, 1400rpm","Australia,New Zealand",0.028,74996,Approved,254.0,0.0,Drum,0.57664,,2018-09-06,,Single product class,Available,,http://www.bosch-home.com.au/
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,SIMPSON,8,107,699,"Regular, Eco, 850rpm, Cold",115.5,False,Dual,Thailand,True,,Drum,,0.0,No,Top,Agitator,SWT8012,AS/NZS 2040.1:2005/Amdt 3:2010,2.03209131665,2.0,0.0,5.34,"Regular, Eco, 850rpm, Warm","Australia,Fiji,New Zealand",0.24,77087,Approved,102.2,115.5,Non-Drum,0.618,,2018-11-20,,Single product class,Available,,http://www.simpson.com.au
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,BEKO,8,,322,,,True,Cold,Turkey,True,630.0,Drum,840.0,,Yes on the warm wash program only,Front,Drum,WDA 8514 H,AS/NZS 2040.1:2005/Amdt 3:2010,4.00524991261,4.0,0.0,0.67,Cottons Eco; 40°C; 1400rpm,"Australia,New Zealand",0.45,77697,Approved,258.0,0.0,Drum,0.5306,600.0,2018-12-24,,Single product class,Unavailable,http://www.beko.com/,
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,LG,9.5,207,535,"Eco Cotton,Spin Ultra,Rinse 4, Wash 6, Water level 2, Cold Wash, Soak 2:00",,False,Dual,"""Korea, Republic of""",True,670.0,Drum,1020.0,,Yes on the warm wash program only,Top,Impeller,WTG9532VH,AS/NZS 2040.1:2005/Amdt 3:2010,3.00095506088,3.0,9e-05,0.3,"Eco Cotton,Spin Ultra,Rinse 4, Wash 6, Water level 2, Cold Wash, Hot Wash, Soak 2:00","Australia,New Zealand",0.3,79479,Approved,243.0,0.0,Non-Drum,0.696,632.0,2019-03-31,,Single product class,Available,,
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,LG,9.5,207,535,"Eco Cotton,Spin Ultra,Rinse 4, Wash 6, Water level 2, Cold Wash, Soak 2:00",,False,Dual,"""Korea, Republic of""",True,670.0,Drum,1020.0,,Yes on the warm wash program only,Top,Impeller,WTG9532WH,AS/NZS 2040.1:2005/Amdt 3:2010,3.00095506088,3.0,9e-05,0.3,"Eco Cotton,Spin Ultra,Rinse 4, Wash 6, Water level 2, Cold Wash, Hot Wash, Soak 2:00","Australia,New Zealand",0.3,79479,Approved,243.0,0.0,Non-Drum,0.696,632.0,2019-03-31,,Single product class,Available,,
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,ASKO,6,,182,,51.5,False,Cold,Sweden,True,595.0,Drum,850.0,0.0,Yes on the warm wash program only,Front,Drum,W6222,AS/NZS 2040.1:2005/Amdt 3:2010,4.53593951919,4.5,0.21,2.1,Program Normal 40c,Australia,0.28,47141,Approved,128.0,51.5,Drum,0.56,565.0,2014-12-20,,Single product class,Unavailable,http://asko.com.au/,http://www.asko.com.au
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,ASKO,6,,182,,51.5,False,Cold,Sweden,True,595.0,Drum,850.0,0.0,Yes on the warm wash program only,Front,Drum,W6342,AS/NZS 2040.1:2005/Amdt 3:2010,4.53593951919,4.5,0.21,2.1,Program Normal 40c,Australia,0.28,47141,Approved,128.0,51.5,Drum,0.56,565.0,2014-12-20,,Single product class,Unavailable,http://asko.com.au/,http://www.asko.com.au
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,ASKO,6,,182,,51.5,False,Cold,Sweden,True,595.0,Drum,850.0,0.0,Yes on the warm wash program only,Front,Drum,W6443,AS/NZS 2040.1:2005/Amdt 3:2010,4.53593951919,4.5,0.21,2.1,Program Normal 40c,Australia,0.28,47141,Approved,128.0,51.5,Drum,0.56,565.0,2014-12-20,,Single product class,Unavailable,http://asko.com.au/,http://www.asko.com.au
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,ASKO,6,,190,Normal 40c,51.5,False,Cold,Sweden,True,595.0,Drum,850.0,0.0,Yes on both the warm and cold wash programs,Front,Drum,W6903,AS/NZS 2040.1:2005/Amdt 3:2010,4.59237238632,4.5,0.21,2.1,NA,Australia,0.13,46987,Approved,131.0,51.5,Drum,0.49,595.0,2014-12-20,,Single product class,Unavailable,http://asko.com.au/,http://www.asko.com.au
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,ASKO,6,,190,Normal 40c,51.5,False,Cold,Sweden,True,595.0,Drum,850.0,0.0,Yes on both the warm and cold wash programs,Front,Drum,W6863,AS/NZS 2040.1:2005/Amdt 3:2010,4.59237238632,4.5,0.21,2.1,NA,Australia,0.13,46987,Approved,131.0,51.5,Drum,0.49,595.0,2014-12-20,,Single product class,Unavailable,http://asko.com.au/,http://www.asko.com.au
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,ASKO,6,,190,Normal 40c,51.5,False,Cold,Sweden,True,595.0,Drum,850.0,0.0,Yes on both the warm and cold wash programs,Front,Drum,W6362,AS/NZS 2040.1:2005/Amdt 3:2010,4.59237238632,4.5,0.21,2.1,NA,Australia,0.13,46987,Approved,131.0,51.5,Drum,0.49,595.0,2014-12-20,,Single product class,Unavailable,http://asko.com.au/,http://www.asko.com.au
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,ASKO,6,,190,Normal 40c,51.5,False,Cold,Sweden,True,595.0,Drum,850.0,0.0,Yes on both the warm and cold wash programs,Front,Drum,W6883,AS/NZS 2040.1:2005/Amdt 3:2010,4.59237238632,4.5,0.21,2.1,NA,Australia,0.13,46987,Approved,131.0,51.5,Drum,0.49,595.0,2014-12-20,,Single product class,Unavailable,http://asko.com.au/,http://www.asko.com.au
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,AEG,9,,413,,,False,Cold,Italy,True,,Drum,,,Yes on the warm wash program only,Front,,L98690FL,AS/NZS 2040.1:2005/Amdt 3:2010,3.66950907792,3.5,0.0,0.05,Economy 60,"Australia,New Zealand",0.05,63381,Approved,238.0,0.0,Drum,0.56,,2017-03-05,,Single product class,Unavailable,,http://www.aeg.com
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,SIMPSON,6,95,498,"Normal/Heavy, Regular Wash Choice, Eco",61.4,False,Dual,Thailand,False,,Non Drum,,20.8,No,Top,Agitator,36S605N,AS/NZS 2040.1:2005/Amdt 3:2010,2.06773074984,2.0,0.0,1.13,"Normal/Heavy, Regular Wash Choice, Eco","Australia,Fiji,New Zealand",0.0,49543,Approved,58.0,82.2,Non-Drum,0.71,,2015-03-11,,Single product class,Unavailable,,http://www.simpson.com.au
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,SIMPSON,7,,320,,70.45,False,Cold,Thailand,True,,Drum,,0.0,Yes on the warm wash program only,Front,Drum,SWF10761,AS/NZS 2040.1:2005/Amdt 3:2010,3.51715255088,3.5,0.0002,0.6,Cottons 60 Economy,"Australia,Fiji,New Zealand",0.537,51891,Approved,187.0,70.45,Drum,0.655,,2015-07-22,,Single product class,Unavailable,,http://www.simpson.com.au
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,ELECTROLUX,7,116,342,Cottons Cold,58.0,True,Cold,Thailand,True,,Drum,,0.0,Yes on the warm wash program only,Front,Drum,EWW1273,AS/NZS 2040.1:2005/Amdt 3:2010,3.51314052888,3.5,0.0002,4.6,Cottons Eco 60,"Australia,Fiji,New Zealand",0.078,47337,Approved,170.0,58.0,Drum,0.564,,2014-11-26,,Single product class,Unavailable,,http://www.electrolux.com.au
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,SIMPSON,7.5,85,625,"Normal/Heavy, Regular Wash Choice, Eco Rinse",75.6,False,Dual,Thailand,False,,Drum,,30.7,No,Top,Agitator,22S750N,AS/NZS 2040.1:2005/Amdt 3:2010,2.06476455219,2.0,0.0,1.485,"Normal/Heavy, Regulat Wash Choice, Eco Rinse","Australia,Fiji,New Zealand",0.0,47050,Approved,67.0,106.3,Non-Drum,0.706,,2014-11-18,,Single product class,Unavailable,,http://www.simpson.com.au
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,EUROTAG,7,71,318,Cotton 0; 1200 rpm,58.4,True,Dual,China,True,,Drum,,0.8,Yes on the warm wash program only,Front,,XQG70-DA112PE,AS/NZS 2040.1:2005/Amdt 3:2010,3.5180224904,3.5,0.0,1.12,Cotton 60; 1200 rpm,"Australia,Fiji,New Zealand",0.94,60394,Approved,228.1,59.2,Drum,0.663,,2016-10-29,,Single product class,Available,,
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,MIELE,7,,210,,69.26,False,Cold,Germany,False,,Drum,,0.0,Yes on the warm wash program only,Front,Drum,W 1913,AS/NZS 2040.1:2005/Amdt 3:2010,4.52382297699,4.5,0.00018,0.74,Cottons 40' C,"Australia,New Zealand",0.15,56325,Approved,142.0,69.26,Drum,0.57,,2016-04-17,,Single product class,Unavailable,http://www.miele.com.au/,http://www.miele.com.au
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,LG,8,105,580,Eco cotton cold wash program,52.0,False,Dual,"""Korea, Republic of""",True,1020.0,Drum,670.0,27.7,No,Top,Impeller,WT-H8006,AS/NZS 2040.1:2005/Amdt 3:2010,2.50343485902,2.5,0.0,0.0,Eco cotton warm wash program,"Australia,New Zealand",0.0,55937,Approved,68.0,79.7,Non-Drum,0.61658,632.0,2016-03-18,,Single product class,Unavailable,,
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,LG,10,123,555,Eco Cotton cold wash program,77.2,False,Dual,"""Korea, Republic of""",True,720.0,Drum,1095.0,25.4,No,Top,Impeller,WT-R1076,AS/NZS 2040.1:2005/Amdt 3:2010,3.09977467849,3.0,0.004,0.28,Eco Cotton warm wash program,"Australia,New Zealand",0.28,55942,Approved,89.0,102.6,Non-Drum,0.647,685.0,2016-03-18,,Single product class,Unavailable,,
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,SAMSUNG ELECTRONICS,7,173,409,"Water Saving, Cold, Intensive wash, 1000 RPM spin",52.9,False,Dual,"""Korea, Democratic People's Republic of""",True,,Drum,,0.5,Yes on the warm wash program only,Front,Drum,WF0700NCF,AS/NZS 2040.1:2005/Amdt 3:2010,3.04926165887,3.0,0.00017,0.56,"Water Saving 40 °C, Intensive wash, 1000 RPM spin","Australia,New Zealand",0.55,54607,Approved,222.71,53.4,Drum,0.59702,,2015-11-22,,Single product class,Unavailable,,http://www.samsung.com.au
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,euro,7,71,318,"Cotton 0, 1200rpm",58.4,True,Dual,China,True,,Drum,,0.8,Yes on the warm wash program only,Front,,EFD735CW,AS/NZS 2040.1:2005/Amdt 3:2010,3.5180224904,3.5,0.0,1.12,"Cotton 60, 1200rpm","Australia,Fiji,New Zealand",0.94,61806,Approved,228.1,59.2,Drum,0.663,,2016-10-31,,Single product class,Available,,
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,LG,10,,385,,,True,Dual,"""Korea, Republic of""",True,767.0,Drum,982.0,,Yes on the warm wash program only,Front,,WD12585FD6,AS/NZS 2040.1:2005/Amdt 3:2010,4.0176987246,4.0,0.154,0.332,"Cotton, Intensive, 3 Rinses, Extra High Spin, 40C","Australia,New Zealand",0.332,66619,Approved,229.0,0.0,Drum,0.58,686.0,2017-07-16,,Single product class,Unavailable,,
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,LG,6.5,90,550,Eco Cotton Cold  Water Level 3,39.05,False,Dual,Thailand,True,,Drum,,27.66,No,Top,Impeller,WT-H650,AS/NZS 2040.1:2005/Amdt 3:2010,2.0364159139,2.0,0.0,0.0,Eco Cotton Warm Water Level 3,"Australia,New Zealand",0.0,53319,Approved,106.0,66.71,Non-Drum,0.7,,2015-09-19,,Single product class,Unavailable,,http://www.lge.com
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,LG,6.5,90,550,Eco Cotton Cold  Water Level 3,39.05,False,Dual,Thailand,True,,Drum,,27.66,No,Top,Impeller,WT-H655,AS/NZS 2040.1:2005/Amdt 3:2010,2.0364159139,2.0,0.0,0.0,Eco Cotton Warm Water Level 3,"Australia,New Zealand",0.0,53319,Approved,106.0,66.71,Non-Drum,0.7,,2015-09-19,,Single product class,Unavailable,,http://www.lge.com
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,LG,10,164,693,"Eco Cotton, Soak 1:20, Wash 23min, Rinse 3",68.4,False,Dual,"""Korea, Republic of""",True,721.0,Drum,1153.0,31.0,Yes on both the warm and cold wash programs,Top,Impeller,WT-R10806,AS/NZS 2040.1:2005/Amdt 3:2010,2.53159396096,2.5,0.0001,0.27,"Eco Cotton, Soak 1:20, Hot wash, Wash 23min, Rinse 3","Australia,New Zealand",0.28,64744,Approved,159.0,99.4,Non-Drum,0.68688,686.0,2017-07-05,,Single product class,Available,,
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,LG,10,164,693,"Eco Cotton, Soak 1:20, Wash 23min, Rinse 3",68.4,False,Dual,"""Korea, Republic of""",True,721.0,Drum,1153.0,31.0,Yes on both the warm and cold wash programs,Top,Impeller,WT-R10856,AS/NZS 2040.1:2005/Amdt 3:2010,2.53159396096,2.5,0.0001,0.27,"Eco Cotton, Soak 1:20, Hot wash, Wash 23min, Rinse 3","Australia,New Zealand",0.28,64744,Approved,159.0,99.4,Non-Drum,0.68688,686.0,2017-07-05,,Single product class,Available,,
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,SAMSUNG ELECTRONICS,8.5,90,670,"Water Saving, Cold, Mid Power Wash and Water Level 10",79.7,False,Dual,Thailand,True,,Non Drum,,0.4,No,Top,Impeller,WA85F7S6,AS/NZS 2040.1:2005/Amdt 3:2010,2.28044321664,2.0,4e-05,0.45,"Water Saving, Hot & Cold, Mid Power Wash and Water Level 10","Australia,Fiji,New Zealand",0.46,71921,Approved,117.0,80.1,Non-Drum,0.63139,,2018-05-01,,Single product class,Available,,http://www.samsung.com.au
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,HOOVER,7,,313,,59.3,False,Cold,"Italy,China",True,520.0,Drum,850.0,0.0,Yes on the warm wash program only,Front,Drum,VHD 8144D,AS/NZS 2040.1:2005/Amdt 3:2010,3.68306229442,3.5,4e-05,1.15,"Cotton Colour 40 C With Max Wash Time, 1400 RPM","Australia,New Zealand",0.17,50302,Approved,207.0,59.3,Drum,0.58221,600.0,2015-07-04,,Single product class,Available,http://www.candy-group.com/,http://www.andico.com.au
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,HISENSE,6.5,360,360,,,False,Cold,China,True,500.0,Drum,850.0,,Yes on the warm wash program only,Front,,HWFR6510,AS/NZS 2040.1:2005/Amdt 3:2010,3.07315468661,3.0,0.0,1.5,"Cotton 40 degrees, 1000 rpm",Australia,0.12,71183,Approved,253.62,0.0,Drum,0.67085,595.0,2018-05-20,,Single product class,Available,,
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,SAMSUNG ELECTRONICS,7,130,595,"Water saving wash, maximum water level, cold water temperature. ",42.99,False,Dual,Thailand,True,,Non Drum,,28.07,No,Top,Agitator,SW70SP,AS/NZS 2040.1:2005/Amdt 3:2010,2.01492808126,2.0,0.01,0.531,"Water saving wash, maximum water level, cold & hot water temperature.","Australia,New Zealand",0.503,49060,Approved,93.38,71.06,Non-Drum,0.71,,2015-02-15,,Single product class,Unavailable,,
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,Celestial,6,,427,,,False,Cold,China,False,,Drum,,,Yes on both the warm and cold wash programs,Front,,WFL60W10,AS/NZS 2040.1:2005/Amdt 3:2010,2.55800126699,2.5,0.0,2.03,Cotton 60,"Australia,Fiji,New Zealand",0.45,70976,Approved,214.0,0.0,Drum,0.609,,2018-04-15,,Single product class,Available,,
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,DAEWOO,7,122,597,Strong wash; extra high; 20C; Main wash 15x2; Wash spin 2x2; Rinse 6; Final spin 5x2,85.75,False,Dual,"""Korea, Republic of""",False,,Drum,,28.81,No,Twin Tub,Agitator,DW-900C,AS/NZS 2040.1:2005/Amdt 3:2010,2.01283486702,2.0,0.0,11.4,Strong wash; extra high; 40C; Main wash 15x2; Wash spin 2x2; Rinse 6; Final spin 5x2,"Australia,New Zealand",0.03,45769,Approved,71.38,114.56,Non-Drum,0.699,,2014-10-22,,Single product class,Unavailable,,http://Daewoo Electronics Corp.
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,MIDEA,5,67,516,"Normal,  Water level 8, Cold Wash Temp. ",112.73,False,Dual,China,True,,Non Drum,,25.15,No,Top,Agitator,AW52-9906,AS/NZS 2040.1:2005/Amdt 3:2010,1.39255544714,1.0,0.0,1.2,"Normal,  Water level 8, Warm Wash Temp. ","Australia,New Zealand",1.16,44596,Approved,78.76,137.88,Non-Drum,0.864,,2014-08-17,,Single product class,Unavailable,,
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,MIDEA,5,67,516,"Normal,  Water level 8, Cold Wash Temp. ",112.73,False,Dual,China,True,,Non Drum,,25.15,No,Top,Agitator,AW52-9906A,AS/NZS 2040.1:2005/Amdt 3:2010,1.39255544714,1.0,0.0,1.2,"Normal,  Water level 8, Warm Wash Temp. ","Australia,New Zealand",1.16,44596,Approved,78.76,137.88,Non-Drum,0.864,,2014-08-17,,Single product class,Unavailable,,
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,MIDEA,5,67,516,"Normal,  Water level 8, Cold Wash Temp. ",112.73,False,Dual,China,True,,Non Drum,,25.15,No,Top,Agitator,AW52-9906B,AS/NZS 2040.1:2005/Amdt 3:2010,1.39255544714,1.0,0.0,1.2,"Normal,  Water level 8, Warm Wash Temp. ","Australia,New Zealand",1.16,44596,Approved,78.76,137.88,Non-Drum,0.864,,2014-08-17,,Single product class,Unavailable,,
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,ASKO,7,,250,NA,77.0,False,Cold,Sweden,True,595.0,Drum,850.0,0.0,Yes on both the warm and cold wash programs,Front,Drum,WMC64V,AS/NZS 2040.1:2005/Amdt 3:2010,4.20718372176,4.0,0.214,2.14,Normal 40c,Australia,0.42,56344,Approved,171.0,77.0,Drum,0.56,595.0,2016-04-19,,Single product class,Unavailable,http://asko.com.au/,http://www.asko.com.au
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,ASKO,7,,250,NA,77.0,False,Cold,Sweden,True,595.0,Drum,850.0,0.0,Yes on both the warm and cold wash programs,Front,Drum,WMC64P,AS/NZS 2040.1:2005/Amdt 3:2010,4.20718372176,4.0,0.214,2.14,Normal 40c,Australia,0.42,56344,Approved,171.0,77.0,Drum,0.56,595.0,2016-04-19,,Single product class,Unavailable,http://asko.com.au/,http://www.asko.com.au
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,ELECTROLUX,8,,306,,,True,Cold,Thailand,True,,Drum,,,Yes on the warm wash program only,Front,,EWW12832,AS/NZS 2040.1:2005/Amdt 3:2010,4.0022476163,4.0,0.0,0.461,Energy Saver 60degC,"Australia,Fiji,New Zealand,Other",0.024,70000,Approved,255.0,0.0,Drum,0.591,,2018-01-29,,Single product class,Available,,http://www.electrolux.com.au
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,LG,7.5,,375,,,True,Dual,"""Korea, Republic of""",True,550.0,Drum,850.0,,Yes on the warm wash program only,Front,,WD14022RD6,AS/NZS 2040.1:2005/Amdt 3:2010,3.5229496058,3.5,0.00011,0.31,"Cotton Eco, 40C, Intensive, 1400rpm","Australia,New Zealand",0.31,69859,Approved,292.0,0.0,Drum,0.52517,600.0,2017-12-24,,Single product class,Unavailable,,
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,LG,8,,328,,,False,Dual,"""Korea, Republic of""",True,640.0,Drum,850.0,,Yes on the warm wash program only,Front,,WD14024D6,AS/NZS 2040.1:2005/Amdt 3:2010,4.01085268197,4.0,0.000227,0.31,"Cotton Eco, 40C, Intensive, Normal Rinse, 1400rpm","Australia,New Zealand",0.3,69725,Approved,305.0,0.0,Drum,0.50537,600.0,2017-12-12,,Single product class,Unavailable,,
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,LG,7.5,,375,,,False,Dual,"""Korea, Republic of""",True,550.0,Drum,850.0,,Yes on the warm wash program only,Front,,WD14022D6,AS/NZS 2040.1:2005/Amdt 3:2010,3.51133935998,3.5,0.00013,2.38,"Cotton Eco, 40C,  Intensive, 1400RPM","Australia,New Zealand",2.39,69504,Approved,285.08,0.0,Drum,0.53252,600.0,2017-11-21,,Single product class,Unavailable,,
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,FISHER & PAYKEL,8.5,,320,,,False,Dual,China,True,,Drum,,,Yes on the warm wash program only,Front,,WH8560P1,AS/NZS 2040.1:2005/Amdt 3:2010,4.08547910063,4.0,1e-05,0.1,"Cottons, 40ºC, Eco","Australia,New Zealand",0.0,69860,Approved,244.0,0.0,Drum,0.57,,2018-01-16,,Single product class,Available,http://www.fisherpaykel.co.nz/,
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,Baumatic,7,80,601,Normal + Cold Water,92.93,False,Dual,China,True,,Non Drum,,0.0,No,Top,Impeller,BWM71,AS/NZS 2040.1:2005/Amdt 3:2010,1.8021946074,1.5,0.0,0.93,Normal + Warm Water,"Australia,Fiji,New Zealand,Other",0.93,68903,Approved,78.0,92.93,Non-Drum,0.9,,2017-11-23,,Single product class,Unavailable,,
Greenhouse and Energy Minimum Standards (Clothes Washing Machines) Determination 2012,Venini,6,67,281,standard cotton +temp.--,62.76,True,Dual,China,True,505.0,Drum,845.0,0.0,Yes on the warm wash program only,Front,,VFLW6,AS/NZS 2040.1:2005/Amdt 3:2010,3.45413963843,3.0,0.0,0.7,standard cotton +temp.40,"Australia,Fiji,New Zealand",0.3,72175,Approved,189.0,62.76,Drum,0.66,590.0,2018-06-02,,Single product class,Unavailable,http://www.thinkappliances.com/,
